Bundling 6%
Bundling 20%
Bundling 64%
Bundling 69%
Bundling 74%
Bundling 80%
Bundling 85%
Bundling 90%
Bundling 95%
Bundling 100%
Copying public dir 44.1 MB
Getting composition
Composition          Audiogram
Codec                h264
Output               out/video.mp4
Concurrency          2x
Rendered 120/7501, time remaining: 38m 21s
Rendered 121/7501, time remaining: 38m 21s
Rendered 121/7501, time remaining: 38m 21s
Rendered 122/7501, time remaining: 38m 20s
Rendered 122/7501, time remaining: 38m 20s
Rendered 123/7501, time remaining: 38m 19s
Rendered 124/7501, time remaining: 38m 21s
Rendered 124/7501, time remaining: 38m 21s
Rendered 125/7501, time remaining: 38m 18s
Rendered 126/7501, time remaining: 38m 20s
Rendered 126/7501, time remaining: 38m 20s
Rendered 127/7501, time remaining: 38m 17s
Rendered 127/7501, time remaining: 38m 17s
Rendered 128/7501, time remaining: 38m 21s
Rendered 129/7501, time remaining: 38m 13s
Rendered 129/7501, time remaining: 38m 13s
Rendered 130/7501, time remaining: 38m 20s
Rendered 131/7501, time remaining: 38m 11s
Rendered 131/7501, time remaining: 38m 11s
Rendered 132/7501, time remaining: 38m 21s
Rendered 132/7501, time remaining: 38m 21s
Rendered 133/7501, time remaining: 38m 12s
Rendered 133/7501, time remaining: 38m 12s
Rendered 134/7501, time remaining: 38m 25s
Rendered 135/7501, time remaining: 38m 13s
Rendered 135/7501, time remaining: 38m 13s
Rendered 136/7501, time remaining: 38m 26s
Rendered 137/7501, time remaining: 38m 12s
Rendered 137/7501, time remaining: 38m 12s
Rendered 138/7501, time remaining: 38m 25s
Rendered 139/7501, time remaining: 38m 12s
Rendered 139/7501, time remaining: 38m 12s
Rendered 139/7501, time remaining: 38m 12s
Rendered 140/7501, time remaining: 38m 41s
Rendered 141/7501, time remaining: 38m 30s
Rendered 141/7501, time remaining: 38m 30s
Rendered 141/7501, time remaining: 38m 30s
Rendered 142/7501, time remaining: 38m 44s
Rendered 143/7501, time remaining: 38m 31s
Rendered 143/7501, time remaining: 38m 31s
Rendered 144/7501, time remaining: 38m 49s
Rendered 145/7501, time remaining: 38m 34s
Rendered 145/7501, time remaining: 38m 34s
Rendered 146/7501, time remaining: 38m 49s
Rendered 147/7501, time remaining: 38m 34s
Rendered 147/7501, time remaining: 38m 34s
Rendered 147/7501, time remaining: 38m 34s
Rendered 148/7501, time remaining: 38m 46s
Rendered 149/7501, time remaining: 38m 34s
Rendered 149/7501, time remaining: 38m 34s
Rendered 150/7501, time remaining: 38m 46s
Rendered 151/7501, time remaining: 37m 38s
Rendered 151/7501, time remaining: 37m 38s
Rendered 152/7501, time remaining: 37m 59s
Rendered 152/7501, time remaining: 37m 59s
Rendered 153/7501, time remaining: 37m 43s
Rendered 153/7501, time remaining: 37m 43s
Rendered 154/7501, time remaining: 38m 0s
Rendered 155/7501, time remaining: 37m 48s
Rendered 155/7501, time remaining: 37m 48s
Rendered 156/7501, time remaining: 38m 3s
Rendered 157/7501, time remaining: 37m 52s
Rendered 157/7501, time remaining: 37m 52s
Rendered 158/7501, time remaining: 38m 5s
Rendered 159/7501, time remaining: 37m 53s
Rendered 159/7501, time remaining: 37m 53s
Rendered 160/7501, time remaining: 38m 7s
Rendered 160/7501, time remaining: 38m 7s
